"Date","Year","Month","PP","Tmin","Tmed","Tmax"
1960-01-15,1960,1,3,9.72,15.7,21.67
1960-02-15,1960,2,0,9.49,15.85,22.21
1960-03-15,1960,3,0,8.16,14.62,21.08
1960-04-15,1960,4,3,6.7,13.24,19.79
1960-05-15,1960,5,6,3.33,9.55,15.78
1960-06-15,1960,6,197,2.96,7.28,11.6
1960-07-15,1960,7,51,0.77,5.29,9.82
1960-08-15,1960,8,23,1.36,7.24,13.13
1960-09-15,1960,9,25,2.36,8.54,14.71
1960-10-15,1960,10,6,4.1,10.34,16.58
1960-11-15,1960,11,6,6.48,13.5,20.52
1960-12-15,1960,12,0,8.2,15.11,22.02
1961-01-15,1961,1,2,9.11,15.52,21.92
1961-02-15,1961,2,3,9.25,15.78,22.32
1961-03-15,1961,3,10,8.47,14.67,20.87
1961-04-15,1961,4,2,5.65,12.25,18.86
1961-05-15,1961,5,18,4.2,10.4,16.6
1961-06-15,1961,6,145,1.42,6.32,11.21
1961-07-15,1961,7,44,1.82,6.75,11.68
1961-08-15,1961,8,94,2.63,7.97,13.31
1961-09-15,1961,9,41,2.65,7.05,11.44
1961-10-15,1961,10,9,4.56,10.83,17.11
1961-11-15,1961,11,2,6.2,12.71,19.21
1961-12-15,1961,12,1,8.08,14.72,21.36
1962-01-15,1962,1,5,8.8,15.18,21.57
1962-02-15,1962,2,4,9.25,15.08,20.92
1962-03-15,1962,3,2,8.68,14.61,20.54
1962-04-15,1962,4,1,5.66,12.16,18.66
1962-05-15,1962,5,20,3.45,9.54,15.64
1962-06-15,1962,6,200,1.73,6.92,12.11
1962-07-15,1962,7,7,1.11,6.28,11.44
1962-08-15,1962,8,30,2.23,7.45,12.67
1962-09-15,1962,9,7,2.39,8.52,14.66
1962-10-15,1962,10,19,4.85,10.75,16.64
1962-11-15,1962,11,1,6.61,13.02,19.44
1962-12-15,1962,12,3,8.45,14.83,21.2
1963-01-15,1963,1,5,8.38,14.88,21.37
1963-02-15,1963,2,5,9.84,15.72,21.6
1963-03-15,1963,3,8,7.49,14.02,20.56
1963-04-15,1963,4,4,6.51,13.07,19.63
1963-05-15,1963,5,22,3.61,9.75,15.88
1963-06-15,1963,6,59,1.66,7.42,13.18
1963-07-15,1963,7,167,2.09,6.33,10.58
1963-08-15,1963,8,122,1.88,6.72,11.55
1963-09-15,1963,9,164,2.45,7.01,11.56
1963-10-15,1963,10,25,3.86,9.28,14.7
1963-11-15,1963,11,29,4.95,10.63,16.32
1963-12-15,1963,12,0,8.09,14.4,20.71
1964-01-15,1964,1,3,9.77,15.67,21.58
1964-02-15,1964,2,3,8.5,14.8,21.1
1964-03-15,1964,3,13,7.36,13.67,19.99
1964-04-15,1964,4,13,4.68,10.64,16.59
1964-05-15,1964,5,15,3.96,10.18,16.39
1964-06-15,1964,6,97,0.31,5.9,11.49
1964-07-15,1964,7,36,0.57,5.81,11.05
1964-08-15,1964,8,61,0.82,6.06,11.3
1964-09-15,1964,9,0,2.76,8.63,14.49
1964-10-15,1964,10,1,4.66,10.83,17
1964-11-15,1964,11,2,6.21,12.83,19.45
1964-12-15,1964,12,8,7.99,13.82,19.65
1965-01-15,1965,1,12,9.48,15.44,21.39
1965-02-15,1965,2,3,9.34,15.9,22.45
1965-03-15,1965,3,1,8.75,15.16,21.56
1965-04-15,1965,4,43,6.32,11.67,17.01
1965-05-15,1965,5,45,3.4,8.65,13.9
1965-06-15,1965,6,17,3.94,8.96,13.99
1965-07-15,1965,7,102,1.31,5.9,10.49
1965-08-15,1965,8,302,1.55,5.97,10.4
1965-09-15,1965,9,14,2.34,7.57,12.8
1965-10-15,1965,10,6,4.63,9.88,15.14
1965-11-15,1965,11,6,7.2,12.37,17.54
1965-12-15,1965,12,17,8.02,13.82,19.62
1966-01-15,1966,1,0,9.68,15.67,21.67
1966-02-15,1966,2,3,8.09,14.33,20.58
1966-03-15,1966,3,1,7.63,13.35,19.07
1966-04-15,1966,4,12,6.21,11.44,16.68
1966-05-15,1966,5,3,4.57,10.32,16.07
1966-06-15,1966,6,184,2.16,6.3,10.43
1966-07-15,1966,7,117,1.57,5.99,10.4
1966-08-15,1966,8,52,0.63,5.81,11
1966-09-15,1966,9,2,2.64,7.92,13.2
1966-10-15,1966,10,3,3.74,9.85,15.96
1966-11-15,1966,11,17,6.23,11.84,17.45
1966-12-15,1966,12,8,7.24,12.8,18.37
1967-01-15,1967,1,9,9.2,15.12,21.04
1967-02-15,1967,2,5,9.5,15.24,20.99
1967-03-15,1967,3,2,8.22,13.93,19.64
1967-04-15,1967,4,0,6.53,12.82,19.1
1967-05-15,1967,5,25,4.65,9.74,14.84
1967-06-15,1967,6,39,-0.62,5.07,10.77
1967-07-15,1967,7,90,-0.09,5.01,10.1
1967-08-15,1967,8,16,0.58,6.09,11.6
1967-09-15,1967,9,43,1.9,6.97,12.04
1967-10-15,1967,10,11,4.27,9.96,15.65
1967-11-15,1967,11,3,6.2,12.02,17.84
1967-12-15,1967,12,1,8.64,14.73,20.82
1968-01-15,1968,1,1,9.79,15.88,21.96
1968-02-15,1968,2,0,9.7,15.58,21.45
1968-03-15,1968,3,1,7.57,13.49,19.41
1968-04-15,1968,4,8,5.46,11.44,17.42
1968-05-15,1968,5,0,3.77,9.94,16.11
1968-06-15,1968,6,26,1.26,6.64,12.02
1968-07-15,1968,7,2,1.23,7.18,13.12
1968-08-15,1968,8,25,2.04,8.05,14.07
1968-09-15,1968,9,29,3.03,8.79,14.55
1968-10-15,1968,10,1,3.66,9.18,14.7
1968-11-15,1968,11,0,7.03,13.09,19.15
1968-12-15,1968,12,1,7.87,14.08,20.28
1969-01-15,1969,1,1,10.26,16.07,21.89
1969-02-15,1969,2,3,9.37,15.26,21.15
1969-03-15,1969,3,0,8.09,13.8,19.51
1969-04-15,1969,4,3,5.89,11.99,18.09
1969-05-15,1969,5,38,4.16,9.5,14.84
1969-06-15,1969,6,113,2.08,6.45,10.81
1969-07-15,1969,7,15,1.8,7.1,12.39
1969-08-15,1969,8,60,1.92,7.22,12.53
1969-09-15,1969,9,18,3.69,9.45,15.2
1969-10-15,1969,10,10,3.54,9.75,15.96
1969-11-15,1969,11,8,5.93,12.05,18.17
1969-12-15,1969,12,0,9.43,15.44,21.44
1970-01-15,1970,1,10,9.56,15.27,20.98
1970-02-15,1970,2,4,10.25,15.96,21.67
1970-03-15,1970,3,4,8.66,14.58,20.49
1970-04-15,1970,4,0,7.19,13.52,19.85
